input,hand,cursor,amplitude,width,ratio,density,block,set,trial,time
mouse,right,bubble,120,32,3,0,1,1,1,0.792
mouse,right,bubble,240,32,3,0,1,1,2,0.692
mouse,right,bubble,240,32,3,0,1,1,3,0.745
mouse,right,bubble,120,32,3,0,1,1,4,0.751
mouse,right,bubble,360,32,3,0,1,1,5,0.871
mouse,right,bubble,120,32,3,0,1,1,6,0.768
mouse,right,bubble,240,32,3,0,1,1,7,0.848
mouse,right,bubble,360,32,3,0,1,1,8,0.88
mouse,right,bubble,360,32,3,0,1,1,9,0.849
mouse,right,bubble,360,8,2,0.5,1,2,1,1.4
mouse,right,bubble,360,8,2,0.5,1,2,2,1.534
mouse,right,bubble,120,8,2,0.5,1,2,3,1.03
mouse,right,bubble,240,8,2,0.5,1,2,4,1.134
mouse,right,bubble,240,8,2,0.5,1,2,5,1.398
mouse,right,bubble,120,8,2,0.5,1,2,6,1.078
mouse,right,bubble,120,8,2,0.5,1,2,7,0.958
mouse,right,bubble,240,8,2,0.5,1,2,8,1.118
mouse,right,bubble,360,8,2,0.5,1,2,9,1.255
mouse,right,bubble,120,8,3,0,1,3,1,2.152
mouse,right,bubble,240,8,3,0,1,3,2,0.912
mouse,right,bubble,240,8,3,0,1,3,3,1.032
mouse,right,bubble,360,8,3,0,1,3,4,1.144
mouse,right,bubble,360,8,3,0,1,3,5,1.016
mouse,right,bubble,360,8,3,0,1,3,6,1.088
mouse,right,bubble,240,8,3,0,1,3,7,1.072
mouse,right,bubble,120,8,3,0,1,3,8,0.863
mouse,right,bubble,120,8,3,0,1,3,9,0.984
mouse,right,bubble,360,8,1.33,0.5,1,4,1,1.936
mouse,right,bubble,360,8,1.33,0.5,1,4,2,1.341
mouse,right,bubble,120,8,1.33,0.5,1,4,3,1.094 
